Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16201,AKB1/48: Idol to Guam de Koishitara...,X360,N/A,Misc,N/A,0,0,0.01,0,0.01
15879,Dinotopia: The Sunstone Odyssey,GC,2003,Action,TDK Mediactive,0.01,0,0,0,0.02
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2006,Action,Namco Bandai Games,0.15,0.05,0.14,0.01,0.35
12017,Drake of the 99 Dragons,XB,2003,Shooter,Majesco Entertainment,0.05,0.01,0,0,0.07
15918,Dream Dancer,DS,2009,Misc,Zoo Games,0.01,0,0,0,0.02
12931,Drill Dozer,GBA,2005,Platform,Nintendo,0.04,0.01,0,0,0.05
5620,Final Fantasy XI,PS2,2002,Role-Playing,Square Enix,0.08,0.06,0.15,0.02,0.32
12668,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0,0,0,0.06
16310,Freaky Flyers,GC,2003,Racing,Midway Games,0.01,0,0,0,0.01
14380,Fullmetal Alchemist: Brotherhood,PSP,2010,Action,Namco Bandai Games,0,0,0.03,0,0.03
10274,GiFTPiA,GC,2003,Role-Playing,Nintendo,0,0,0.11,0,0.11
9822,Godzilla: Destroy All Monsters Melee,XB,2002,Fighting,Infogrames,0.09,0.03,0,0,0.12
16369,Hakuouki: Shinsengumi Kitan,PS3,2014,Adventure,Aksys Games,0.01,0,0,0,0.01
4867,Harvest Moon: Save the Homeland,PS2,N/A,Simulation,Unknown,0.19,0.15,0,0.05,0.4
5915,Harvest Moon: The Tale of Two Towns,3DS,N/A,Simulation,Unknown,0.28,0,0,0.02,0.3
16194,Homeworld Remastered Collection,PC,N/A,Strategy,N/A,0,0.01,0,0,0.01
14089,Housekeeping,DS,N/A,Action,N/A,0,0,0.04,0,0.04
6970,Jet X20,PS2,N/A,Racing,Unknown,0.11,0.09,0,0.03,0.23
4153,Karate,2600,N/A,Fighting,Ultravision,0.44,0.03,0,0,0.47
14852,Legacy of Ys: Books I & II,DS,N/A,Role-Playing,Unknown,0.02,0,0,0,0.03
10760,Luminous Arc 2 (JP sales),DS,N/A,Role-Playing,Unknown,0,0,0.1,0,0.1
14315,Majesty 2: The Fantasy Kingdom Sim,X360,N/A,Simulation,Unknown,0.03,0,0,0,0.03
15264,Mario Tennis,3DS,N/A,Sports,N/A,0,0,0.02,0,0.02
2499,MLB SlugFest 20-03,PS2,N/A,Sports,Unknown,0.41,0.32,0,0.11,0.83
13280,Monster Hunter Frontier Online,PS3,N/A,Role-Playing,N/A,0,0,0.05,0,0.05
12917,Mountain Bike Adrenaline,PS2,N/A,Sports,Unknown,0.03,0.02,0,0.01,0.05
10561,My Healthy Cooking Coach,DS,N/A,Simulation,Unknown,0.09,0,0,0.01,0.1
3470,NASCAR: Dirt to Daytona,PS2,N/A,Racing,Unknown,0.28,0.22,0,0.07,0.58
12214,National Geographic Challenge!,X360,N/A,Misc,Unknown,0.06,0,0,0,0.07
4799,NFL GameDay 2003,PS2,N/A,Sports,Unknown,0.2,0.15,0,0.05,0.4
13735,NHL Hitz Pro,GC,N/A,Sports,Unknown,0.03,0.01,0,0,0.04
4538,NHL Slapshot,Wii,N/A,Sports,Unknown,0.4,0,0,0.02,0.43
6044,Nicktoons: Battle for Volcano Island,GC,N/A,Action,Unknown,0.22,0.06,0,0.01,0.29
9524,Nintendo Puzzle Collection,GC,N/A,Puzzle,Unknown,0,0,0.13,0,0.13
8169,Otomedius Excellent,X360,N/A,Shooter,Unknown,0.13,0,0.04,0.01,0.18
9083,Our House Party!,Wii,N/A,Simulation,Unknown,0.13,0,0,0.01,0.14
6213,Pac-Man Fever,GC,N/A,Misc,Unknown,0.21,0.06,0,0.01,0.28
15001,Payout Poker & Casino,PSP,N/A,Misc,Unknown,0.02,0,0,0,0.02
12519,Prinny: Can I Really Be The Hero? (US sales),PSP,N/A,Action,N/A,0.06,0,0,0,0.06
12186,Rayman Arena,XB,N/A,Racing,Unknown,0.05,0.01,0,0,0.07
12881,Reader Rabbit 2nd Grade,Wii,N/A,Misc,Unknown,0.05,0,0,0,0.05
7384,Robotech: Battlecry,XB,N/A,Shooter,Unknown,0.16,0.05,0,0.01,0.21
9842,Rocksmith,PC,N/A,Misc,Unknown,0.06,0.04,0,0.01,0.12
15200,Saint,Wii,N/A,Shooter,Unknown,0.02,0,0,0,0.02
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,N/A,Fighting,Unknown,0,0,0.03,0,0.03
9771,Saru! Get You! Million Monkeys,PS2,N/A,Platform,Unknown,0,0,0.12,0,0.12
13872,Sega Rally 2006,PS2,N/A,Racing,Unknown,0,0,0.04,0,0.04
16197,Shorts,DS,N/A,Platform,Unknown,0.01,0,0,0,0.01
11800,Smashing Drive,GC,N/A,Racing,Unknown,0.06,0.01,0,0,0.07
4147,Sonic the Hedgehog,PS3,N/A,Platform,N/A,0,0.48,0,0,0.48
15211,Steal Princess,DS,N/A,Platform,Unknown,0.02,0,0,0,0.02
9817,Street Hoops,GC,N/A,Sports,Unknown,0.09,0.02,0,0,0.12
14699,Super Duper Sumos,GBA,N/A,Action,Unknown,0.02,0.01,0,0,0.03
9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,N/A,Strategy,N/A,0,0,0.12,0,0.12
14048,Swords,Wii,N/A,Fighting,Unknown,0.03,0,0,0,0.04
8225,Teen Titans,GBA,N/A,Action,Unknown,0.13,0.05,0,0,0.17
4685,TERA,PC,N/A,Role-Playing,Unknown,0.24,0.12,0,0.05,0.41
5863,The Dukes of Hazzard II: Daisy Dukes It Out,PS,N/A,Racing,Unknown,0.17,0.11,0,0.02,0.3
11457,The Hidden,3DS,N/A,Adventure,Unknown,0.08,0,0,0,0.08
14858,The King of Fighters: Maximum Impact - Maniax,XB,N/A,Fighting,Unknown,0.02,0.01,0,0,0.03
6274,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,N/A,Action,N/A,0,0,0.27,0.01,0.27
16496,The Smurfs,3DS,N/A,Action,Unknown,0,0.01,0,0,0.01
8046,Trauma Team,Wii,N/A,Simulation,Unknown,0.15,0,0.02,0.01,0.18
7037,Tribes: Aerial Assault,PS2,N/A,Shooter,Unknown,0.11,0.09,0,0.03,0.23
14928,Tube Slider,GC,N/A,Racing,Unknown,0.02,0,0,0,0.02
8159,Twisted Metal: Small Brawl,PS,N/A,Action,Unknown,0.1,0.07,0,0.01,0.18
8622,Vegas Party,Wii,N/A,Misc,Unknown,0.15,0,0,0.01,0.16
2788,WarioWare: Twisted!,GBA,N/A,Puzzle,Unknown,0.16,0.06,0.5,0.02,0.74
9153,WCW Backstage Assault,N64,N/A,Action,Unknown,0.11,0.03,0,0,0.14
13964,World of Tanks,X360,N/A,Shooter,N/A,0,0.03,0,0,0.04
15609,Writing and Speaking Beautiful Japanese DS,DS,N/A,Misc,Unknown,0,0,0.02,0,0.02
12137,Yoostar on MTV,X360,N/A,Misc,Unknown,0.06,0,0,0,0.07
7353,Yu Yu Hakusho: Dark Tournament,PS2,N/A,Fighting,N/A,0.1,0.08,0,0.03,0.21
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,N/A,Racing,Unknown,0,0,0.02,0,0.02
14058,Clockwork Empires,PC,2016,Strategy,Gaslamp Games,0,0.03,0,0,0.04
5242,Tomb Raider (2013),PC,2013,Action,Square Enix,0.06,0.25,0,0.05,0.36
11575,Dead Island: Riptide,PC,2013,Action,Deep Silver,0,0.07,0,0.01,0.08
7650,Dead Space 3,PC,2013,Action,Electronic Arts,0.02,0.15,0,0.02,0.2
16330,Inversion,PC,2012,Shooter,Namco Bandai Games,0.01,0,0,0,0.01
12250,Jewel Link Chronicles: Mountains of Madness,DS,2012,Puzzle,Avanquest,0,0.06,0,0.01,0.06
14276,Beyond the Labyrinth,3DS,2012,Role-Playing,Konami Digital Entertainment,0,0,0.03,0,0.03
14879,Combat Wings: The Great Battles of WWII,Wii,2012,Simulation,City Interactive,0.02,0,0,0,0.03
12030,Port Royale 3,PS3,2012,Simulation,Kalypso Media,0.06,0,0,0.01,0.07
12240,Port Royale 3,X360,2012,Simulation,Kalypso Media,0.06,0,0,0,0.07
11923,Dream Trigger 3D,3DS,2011,Shooter,D3Publisher,0.04,0.02,0,0.01,0.07
11378,Face Racers: Photo Finish,3DS,2011,Racing,Majesco Entertainment,0.08,0,0,0,0.08
14057,Half-Minute Hero 2,PSP,2011,Role-Playing,Rising Star Games,0,0,0.04,0,0.04
6498,Jonah Lomu Rugby Challenge,PS3,2011,Sports,Home Entertainment Suppliers,0,0.2,0,0.06,0.26
8709,Jurassic Park: The Game,X360,2011,Action,Telltale Games,0.15,0,0,0.01,0.16
7183,Move Fitness,PS3,2011,Sports,Sony Computer Entertainment,0,0.17,0,0.05,0.22
7910,Pet Zombies,3DS,2011,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.19
13158,The History Channel: Great Battles - Medieval,PS3,2011,Strategy,Slitherine Software,0,0.04,0,0.01,0.05
12924,Tour de France 2011,X360,2011,Racing,Focus Home Interactive,0,0.05,0,0.01,0.05
5198,Tropico 4,X360,2011,Strategy,Kalypso Media,0.2,0.13,0,0.03,0.36
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2011,Adventure,MangaGamer,0,0,0.02,0,0.02
7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,2011,Strategy,Sega,0,0,0.21,0,0.21
16232,Brothers in Arms: Furious 4,X360,2011,Shooter,Ubisoft,0.01,0,0,0,0.01
6928,DanceDanceRevolution II,Wii,2011,Misc,Konami Digital Entertainment,0.22,0,0,0.02,0.24
12628,Captain America: Super Soldier,Wii,2011,Action,Sega,0.05,0,0,0,0.06
12827,Captain America: Super Soldier,DS,2011,Action,Sega,0.05,0,0,0,0.05
2840,LEGO Harry Potter: Years 5-7,DS,2011,Action,Warner Bros. Interactive Entertainment,0.35,0.3,0,0.07,0.72
4793,LEGO Harry Potter: Years 5-7,3DS,2011,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0,0.04,0.4
6321,LEGO Harry Potter: Years 5-7,PSP,2011,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0,0.06,0.27
7215,LEGO Harry Potter: Years 5-7,PC,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0,0.03,0.22
2949,Test Drive Unlimited 2,X360,2011,Racing,Atari,0.3,0.32,0,0.07,0.69
3143,Test Drive Unlimited 2,PS3,2011,Racing,Atari,0.16,0.35,0.01,0.12,0.64
7722,Test Drive Unlimited 2,PC,2011,Racing,Atari,0.05,0.11,0,0.03,0.2
2417,The Lord of the Rings: War in the North,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
2424,The Lord of the Rings: War in the North,X360,2011,Action,Warner Bros. Interactive Entertainment,0.52,0.26,0,0.08,0.86
15814,Ferrari: The Race Experience,Wii,2010,Racing,System 3 Arcade Software,0,0.01,0,0,0.02
11333,Get Fit with Mel B,X360,2010,Sports,Black Bean Games,0,0.07,0,0.01,0.08
8441,Splatterhouse,PS3,2010,Action,Namco Bandai Games,0.13,0.02,0,0.02,0.17
6968,Big Beach Sports 2,Wii,2010,Sports,THQ,0.09,0.12,0,0.03,0.23
6808,BioShock 2,PC,2010,Shooter,Take-Two Interactive,0.02,0.19,0,0.04,0.24
12129,Build-A-Bear Workshop: Friendship Valley,Wii,2010,Misc,Activision,0.06,0,0,0,0.07
15881,Dance! It's Your Stage,Wii,2010,Misc,DTP Entertainment,0,0.01,0,0,0.02
6921,Danganronpa: Trigger Happy Havoc,PSP,2010,Misc,Spike,0,0,0.24,0,0.24
5627,Singularity,X360,2010,Shooter,Activision,0.24,0.05,0,0.02,0.32
6834,Singularity,PS3,2010,Shooter,Activision,0.17,0.04,0.01,0.03,0.24
9823,The Daring Game for Girls,DS,2010,Adventure,Majesco Entertainment,0.11,0,0,0.01,0.12
11757,Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0,0,0.07,0,0.07
9744,Record of Agarest War Zero,PS3,2009,Strategy,Ghostlight,0.09,0,0.03,0.01,0.12
15319,Runaway: A Twist of Fate,DS,2009,Adventure,Focus Home Interactive,0,0.02,0,0,0.02
11940,Tornado,DS,2009,Action,Ignition Entertainment,0.07,0,0,0,0.07
3954,Wet,X360,2009,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
9669,Charm Girls Club: My Fashion Mall,DS,2009,Simulation,Electronic Arts,0.12,0,0,0.01,0.12
11325,Charm Girls Club: My Fashion Show,DS,2009,Simulation,Electronic Arts,0.08,0,0,0.01,0.08
10794,The Daring Game for Girls,Wii,2009,Adventure,Majesco Entertainment,0.09,0,0,0.01,0.1
5872,Disgaea 3: Absence of Detention,PSV,2008,Role-Playing,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3
3240,Metal Gear Solid 2: Substance,XB,2008,Action,Konami Digital Entertainment,0.38,0.22,0,0.03,0.62
12711,Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0,0,0.06,0,0.06
10981,Samurai Shodown Anthology,PSP,2008,Fighting,Ignition Entertainment,0.08,0,0,0.01,0.09
2530,Shaun White Snowboarding,X360,2008,Sports,Ubisoft,0.48,0.26,0,0.08,0.82
9477,Street Fighter IV,PC,2008,Fighting,Capcom,0.07,0.04,0,0.02,0.13
11411,Zero: Tsukihami no Kamen,Wii,2008,Action,Nintendo,0,0,0.08,0,0.08
2588,PES 2009: Pro Evolution Soccer,PSP,2008,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8
4474,Robert Ludlum's The Bourne Conspiracy,X360,2008,Action,Vivendi Games,0.26,0.14,0,0.04,0.44
4936,Robert Ludlum's The Bourne Conspiracy,PS3,2008,Action,Vivendi Games,0.18,0.14,0,0.06,0.39
6403,Rock Revolution,PS3,2008,Misc,Konami Digital Entertainment,0.25,0,0,0.02,0.27
11545,Rock Revolution,Wii,2008,Misc,Unknown,0.07,0,0,0.01,0.08
4382,Silent Hill: Homecoming,X360,2008,Action,Konami Digital Entertainment,0.25,0.16,0,0.04,0.45
4860,Silent Hill: Homecoming,PS3,2008,Action,Konami Digital Entertainment,0.18,0.15,0,0.06,0.4
15903,Jet Impulse,DS,2007,Simulation,Nintendo,0,0,0.02,0,0.02
13677,Luxor: Pharaoh's Challenge,Wii,2007,Puzzle,Funsta,0.01,0.03,0,0,0.04
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,2007,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02
5840,Shrek the Third,DS,2007,Action,Activision,0.26,0.02,0,0.02,0.3
10047,Star Trek: Conquest,PS2,2007,Strategy,Bethesda Softworks,0.06,0.04,0,0.01,0.11
14299,Bikkuriman Daijiten,DS,2007,Misc,Three O'clock,0,0,0.03,0,0.03
14100,Major League Baseball 2K8,PSP,2007,Sports,2k Sports,0.03,0,0,0,0.03
3348,The Golden Compass,Wii,2007,Action,Sega,0.26,0.28,0,0.07,0.6
5080,The Golden Compass,PSP,2007,Action,Sega,0.11,0.16,0,0.1,0.38
10364,Disney's Chicken Little: Ace In Action,Wii,2006,Shooter,Disney Interactive Studios,0.1,0,0,0.01,0.11
15742,Football Manager 2007,X360,2006,Sports,Sega,0,0.01,0,0,0.02
6779,Mega Man X Collection,PS2,2006,Misc,Capcom,0.12,0.09,0,0.03,0.24
3196,Monster Hunter 2,PS2,2006,Role-Playing,Capcom,0,0,0.63,0,0.63
7948,Star Trek: Legacy,X360,2006,Simulation,Ubisoft,0.14,0.03,0,0.02,0.19
4201,Tiger Woods PGA Tour 07,Wii,2006,Sports,Electronic Arts,0.43,0,0,0.04,0.47
12751,Tom Clancy's Rainbow Six: Critical Hour,XB,2006,Shooter,Ubisoft,0.04,0.01,0,0,0.06
6939,Tony Hawk's Downhill Jam,Wii,2006,Sports,Activision,0.21,0,0,0.02,0.24
12131,Alex Rider: Stormbreaker,DS,2006,Action,THQ,0.06,0,0,0,0.07
10496,Atsumare! Power Pro Kun no DS Koushien,DS,2006,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1
15582,Cabela's Alaskan Adventure,PS2,2006,Sports,Activision,0.01,0.01,0,0,0.02
12489,Chou Soujuu Mecha MG,DS,2006,Simulation,Nintendo,0,0,0.06,0,0.06
9312,Disney's Cinderella: Magical Dreams,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0,0,0.14
10831,Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0,0,0.09,0,0.09
6316,Gun,X360,2005,Shooter,Activision,0.24,0.01,0,0.02,0.27
6155,Unreal Championship 2: The Liandri Conflict,XB,2005,Shooter,Midway Games,0.22,0.05,0,0.01,0.28
15720,Without Warning,XB,2005,Shooter,Capcom,0.01,0,0,0,0.02
6649,College Hoops 2K6,PS2,2005,Sports,2k Sports,0.12,0.1,0,0.03,0.25
10999,Demon Chaos,PS2,2005,Action,Konami Digital Entertainment,0,0,0.09,0,0.09
12533,Combat Elite: WWII Paratroopers,PS2,2005,Shooter,SouthPeak Games,0.03,0.02,0,0.01,0.06
14476,Combat Elite: WWII Paratroopers,XB,2005,Shooter,SouthPeak Games,0.02,0.01,0,0,0.03
9870,Major League Baseball 2K6,PSP,2005,Sports,2k Sports,0.11,0,0,0.01,0.12
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,2005,Action,Disney Interactive Studios,0.48,0.18,0,0.01,0.67
6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,2005,Action,Disney Interactive Studios,0.22,0.06,0,0.01,0.28
7425,WRC: FIA World Rally Championship,PS3,2005,Racing,Black Bean Games,0,0.15,0.01,0.05,0.21
9694,WRC: FIA World Rally Championship,X360,2005,Racing,Black Bean Games,0,0.1,0,0.02,0.12
16061,WRC: FIA World Rally Championship,PC,2005,Racing,Black Bean Games,0,0.01,0,0,0.01
11978,McFarlane's Evil Prophecy,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07
5510,Custom Robo,N64,2004,Role-Playing,Nintendo,0,0,0.29,0.04,0.33
3717,Def Jam: Fight for NY,XB,2004,Fighting,Electronic Arts,0.43,0.1,0,0.02,0.54
4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,2004,Shooter,Vivendi Games,0.32,0.11,0,0.02,0.45
15655,Virtua Quest,PS2,2004,Role-Playing,Sega,0.01,0.01,0,0,0.02
16430,Virtua Quest,GC,2004,Role-Playing,Sega,0.01,0,0,0,0.01
3755,NBA Street Vol. 2,GC,2003,Sports,Electronic Arts,0.41,0.11,0,0.01,0.54
16068,Aquaman: Battle for Atlantis,XB,2003,Action,TDK Mediactive,0.01,0,0,0,0.01
8901,eJay Clubworld,PS2,2002,Misc,Empire Interactive,0.07,0.06,0,0.02,0.15
6127,Haven: Call of the King,PS2,2002,Platform,Midway Games,0.14,0.11,0,0.04,0.28
8336,James Cameron's Dark Angel,PS2,2002,Action,Universal Interactive,0.08,0.07,0,0.02,0.17
8206,NBA Starting Five,PS2,2002,Sports,Konami Digital Entertainment,0.09,0.07,0,0.02,0.18
5771,Star Wars Jedi Knight II: Jedi Outcast,XB,2002,Shooter,Activision,0.23,0.07,0,0.01,0.31
8378,Sword of the Samurai,PS2,2002,Fighting,Ubisoft,0,0,0.17,0,0.17
14679,Tom and Jerry in War of the Whiskers,XB,2002,Fighting,NewKidCo,0.02,0.01,0,0,0.03
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,2002,Action,3DO,0.26,0.1,0,0.01,0.36
15000,Wii de Asobu: Metroid Prime,Wii,2002,Shooter,Nintendo,0,0,0.02,0,0.02
15002,Wii de Asobu: Metroid Prime,Wii,2002,Shooter,Nintendo,0,0,0.02,0,0.02
9394,Transworld Surf,XB,2001,Sports,Atari,0.1,0.03,0,0,0.13
8555,Alone in the Dark: The New Nightmare,PS,2001,Adventure,Infogrames,0.09,0.06,0,0.01,0.16
13479,RollerCoaster Tycoon,PC,1999,Strategy,Microprose,0.02,0.02,0,0.01,0.04
13674,B.L.U.E.: Legend of Water,PS,1998,Adventure,Hudson,0,0,0.04,0,0.04
7617,Famista 64,N64,1997,Sports,Namco Bandai Games,0,0,0.17,0.03,0.2
11110,Super Puzzle Fighter II,GBA,1996,Puzzle,Capcom,0.06,0.02,0,0,0.09
7371,Ghostbusters II,2600,1989,Action,Activision,0.2,0.01,0,0,0.21
14162,Sabre Wulf,GBA,1984,Platform,THQ,0.02,0.01,0,0,0.03
5659,Dragster,2600,1980,Racing,Activision,0.3,0.02,0,0,0.32
3882,Fishing Derby,2600,1980,Sports,Activision,0.48,0.03,0,0.01,0.51
4380,Maze Craze: A Game of Cops 'n Robbers,2600,1980,Action,Atari,0.42,0.02,0,0,0.45
4234,Circus Atari,2600,1980,Action,Atari,0.43,0.03,0,0,0.46
5800,Slot Machine,2600,1979,Action,Atari,0.29,0.02,0,0,0.31
6318,Flag Capture,2600,1978,Action,Atari,0.25,0.02,0,0,0.27
5063,Hangman,2600,1978,Puzzle,Atari,0.35,0.02,0,0,0.38
8762,Home Run,2600,1978,Sports,Atari,0.14,0.01,0,0,0.15
4471,Super Breakout,2600,1978,Puzzle,Atari,0.41,0.03,0,0,0.44
7372,Breakaway IV,2600,1978,Puzzle,Sears,0.2,0.01,0,0,0.21
6285,Indy 500,2600,1977,Racing,Atari,0.26,0.01,0,0,0.27
